R1, 35.56, 83.82, 180.00, 100, R0805
R10, 38.10, 44.45, 180.00, 100, R0805
R11, 38.10, 40.64, 180.00, 100, R0805
R12, 38.10, 36.83, 180.00, 100, R0805
R13, 38.10, 33.02, 0.00, 100, R0805
R14, 38.10, 29.21, 0.00, 100, R0805
R15, 38.10, 25.40, 0.00, 100, R0805
R16, 38.10, 21.59, 0.00, 100, R0805
R17, 60.96, 85.09, 90.00, 100, R0805
R18, 58.42, 68.58, 90.00, 100, R0805
R19, 60.96, 49.53, 90.00, 100, R0805
R2, 40.64, 82.55, 180.00, 100, R0805
R20, 64.16, 81.58, 270.00, 100, R0805
R21, 60.96, 64.77, 270.00, 100, R0805
R22, 64.77, 45.72, 270.00, 100, R0805
R23, 66.04, 77.47, 90.00, 100, R0805
R24, 63.50, 60.96, 90.00, 100, R0805
R25, 62.23, 41.91, 90.00, 100, R0805
R26, 62.23, 73.66, 270.00, 100, R0805
R27, 59.69, 58.42, 270.00, 100, R0805
R28, 58.42, 39.37, 270.00, 100, R0805
R29, 55.88, 34.29, 90.00, 100, R0805
R3, 35.56, 80.01, 180.00, 100, R0805
R30, 58.42, 30.48, 270.00, 100, R0805
R31, 55.88, 26.67, 90.00, 100, R0805
R32, 57.15, 21.59, 270.00, 100, R0805
R33, 71.12, 82.55, 90.00, 100, R0805
R4, 40.64, 77.47, 180.00, 100, R0805
R5, 40.64, 72.39, 0.00, 100, R0805
R6, 41.91, 68.58, 0.00, 100, R0805
R7, 39.37, 64.77, 0.00, 100, R0805
R8, 39.37, 60.96, 0.00, 100, R0805
R9, 36.83, 50.80, 180.00, 100, R0805
U$1, 91.74, 13.11, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$2, 8.23, 91.74, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$3, 12.50, 12.50, 0.00, FIDUCIAL, FIDUCIAL_1MM
U1, 52.07, 81.28, 0.00, DS90LV047ATM, SOIC127P600X175-16N
U2, 52.07, 64.77, 0.00, DS90LV047ATM, SOIC127P600X175-16N
U3, 50.80, 45.72, 0.00, DS90LV047ATM, SOIC127P600X175-16N
U4, 48.26, 29.21, 0.00, DS90LV047ATM, SOIC127P600X175-16N
U5, 24.13, 78.74, 0.00, SN74BCT543DW, SOIC127P1030X265-24N
U6, 22.86, 41.91, 0.00, SN74BCT543DW, SOIC127P1030X265-24N
